parameter,value,seed,pearson,nrmse,classification_accuracy,accuracy_drop,regime_crossing_rate
alpha,0.0,42,0.9999999999999999,0.0,0.7868875874875018,0.0,0.026714285714285715
alpha,0.05,42,0.9987376770360614,0.05030244738321342,0.7863162405370662,0.0005713469504355917,0.051571428571428574
alpha,0.1,42,0.9951020419839783,0.0995919304498684,0.7807456077703185,0.006141979717183221,0.08242857142857143
alpha,0.2,42,0.9800326277873863,0.2020517898851861,0.7626053420939866,0.0242822453935152,0.14042857142857143
alpha,0.4,42,0.9272453210625021,0.40183426958392315,0.7047564633623769,0.08213112412512491,0.2527142857142857
alpha,0.8,42,0.779458057035913,0.7955676290536666,0.604199400085702,0.1826881874017997,0.40285714285714286
alpha,1.6,42,0.5375123869494134,1.5892718416178337,0.4927867447507499,0.29410084273675186,0.5055714285714286
k,0.0,42,0.9999999999999999,0.0,0.7868875874875018,0.0,0.026714285714285715
k,1.0,42,0.9981446985867882,0.060918180183318515,0.7826024853592344,0.004285102128267382,0.026714285714285715
k,2.0,42,0.9960011449998257,0.08944004170081873,0.778317383230967,0.008570204256534764,0.026714285714285715
k,5.0,42,0.9873757198336705,0.15894102396102716,0.7651764033709471,0.021711184116554705,0.026714285714285715
k,10.0,42,0.9671208894933319,0.2565586178245833,0.7466076274817883,0.04027996000571343,0.026714285714285715
k,20.0,42,0.9109576618213686,0.42238463780423563,0.7096129124410798,0.07727467504642194,0.026714285714285715
k,50.0,42,0.6740225169615527,0.8092216653070732,0.6153406656191972,0.17154692186830456,0.026285714285714287
alpha,0.0,43,0.9999999999999996,0.0,0.6449078703042422,0.0,0.028285714285714286
alpha,0.05,43,0.99872497881074,0.05052450477567044,0.6337666047707471,0.011141265533495148,0.08828571428571429
alpha,0.1,43,0.9949773964043054,0.10068749831094903,0.6346236251964005,0.01028424510784176,0.1377142857142857
alpha,0.2,43,0.9809317863459498,0.19796216301556468,0.638765890587059,0.006141979717183221,0.19685714285714287
alpha,0.4,43,0.9303264770593462,0.3949724678237403,0.6476217683188116,-0.002713898014569338,0.27785714285714286
alpha,0.8,43,0.7801943781772848,0.8020309281194317,0.6184830738465933,0.026424796457648947,0.3375714285714286
alpha,1.6,43,0.530415035394417,1.5908178331284182,0.5637766033423797,0.08113126696186257,0.43585714285714283
k,0.0,43,0.9999999999999996,0.0,0.6449078703042422,0.0,0.028285714285714286
k,1.0,43,0.9985543016842745,0.053773977426235166,0.6431938294529352,0.0017140408513069971,0.028285714285714286
k,2.0,43,0.9969259927486381,0.07841582402866232,0.6414797886016284,0.0034280817026138832,0.028285714285714286
k,5.0,43,0.9917271845325989,0.12865813258225753,0.6364805027853164,0.00842736751892581,0.028285714285714286
k,10.0,43,0.9821814440312825,0.1888580390204435,0.6307670332809598,0.014140837023282393,0.028285714285714286
k,20.0,43,0.9578395707938085,0.2906015376413511,0.6251964005142122,0.019711469790030023,0.028
k,50.0,43,0.8597199903872009,0.5311044846690619,0.6110555634909298,0.033852306813312416,0.028
alpha,0.0,44,1.0,0.0,0.7974575060705613,0.0,0.023142857142857142
alpha,0.05,44,0.9987439673216943,0.050124751643112905,0.7843165262105414,0.013140979860019941,0.07157142857142858
alpha,0.1,44,0.9950292605666222,0.10015937680324848,0.7698900157120412,0.02756749035852013,0.128
alpha,0.2,44,0.9803696871101207,0.20082423577456682,0.7350378517354663,0.062419654335095,0.19757142857142856
alpha,0.4,44,0.9280345760990161,0.4031622912637678,0.7068990144265105,0.09055849164405083,0.2734285714285714
alpha,0.8,44,0.7782204802574307,0.7967050788418674,0.6616197686044851,0.1358377374660762,0.35014285714285714
alpha,1.6,44,0.5317256842709659,1.5974878543586886,0.5827738894443651,0.21468361662619617,0.4551428571428571
k,0.0,44,1.0,0.0,0.7974575060705613,0.0,0.023142857142857142
