run_group,strategy,target,model,n_train,n_test,r2,mae,rmse
wp5_ablation,ppo_combined,h,A_sigma_hat,1680,720,0.5206224998361402,0.17334900796535016,0.2539112253650201
wp5_ablation,ppo_combined,h,B_sigma_hat_plus_regime,1680,720,0.5208958640247676,0.17327595496466244,0.25383881882302484
wp5_ablation,ppo_combined,m,A_sigma_hat,1680,720,-0.15458650035785304,1.2262703338922831,1.4557222471888729
wp5_ablation,ppo_combined,m,B_sigma_hat_plus_regime,1680,720,-0.15084820583544944,1.2281495786445165,1.4533636839381396
wp5_ablation,ppo_regime_only,h,A_sigma_hat,1680,720,-0.1147203760986879,0.289373070343295,0.39604566214143394
wp5_ablation,ppo_regime_only,h,B_sigma_hat_plus_regime,1680,720,-0.1325179730241799,0.29040859616102205,0.3991947697142319
wp5_ablation,ppo_regime_only,m,A_sigma_hat,1680,720,-0.044954560829817414,1.310343041039684,1.3941295999910568
wp5_ablation,ppo_regime_only,m,B_sigma_hat_plus_regime,1680,720,-0.044606944131774684,1.3104347702708996,1.3938976937163918
wp5_ablation,ppo_sigma_only,h,A_sigma_hat,1680,720,0.0,0.5729865574274953,0.6553563032150298
wp5_ablation,ppo_sigma_only,h,B_sigma_hat_plus_regime,1680,720,0.0,0.5729865574274953,0.6553563032150298
wp5_ablation,ppo_sigma_only,m,A_sigma_hat,1680,720,-0.07485390069412556,1.0364116903279776,1.0665140011515
wp5_ablation,ppo_sigma_only,m,B_sigma_hat_plus_regime,1680,720,-0.07310064342271705,1.0361410221263134,1.0656438193696016
wp5_main,ppo_aware,h,A_sigma_hat,1680,720,-0.5690244005597531,0.9545481711516655,1.0799518651679152
wp5_main,ppo_aware,h,B_sigma_hat_plus_regime,1680,720,-0.5690244005597531,0.9545481711516655,1.0799518651679152
wp5_main,ppo_aware,m,A_sigma_hat,1680,720,-0.01564356669385969,1.9921180855275638,2.015201792033724
wp5_main,ppo_aware,m,B_sigma_hat_plus_regime,1680,720,-0.01564356669385969,1.9921180855275638,2.015201792033724
wp5_main,ppo_blind,h,A_sigma_hat,1680,720,0.0,0.09866413860433527,0.22686312876331668
wp5_main,ppo_blind,h,B_sigma_hat_plus_regime,1680,720,0.0,0.09866413860433527,0.22686312876331668
wp5_main,ppo_blind,m,A_sigma_hat,1680,720,-0.04325540856332566,1.7890164102341304,1.8427681195476173
wp5_main,ppo_blind,m,B_sigma_hat_plus_regime,1680,720,-0.04325540856332566,1.7890164102341304,1.8427681195476173
wp5_misspec_mild,ppo_combined,h,A_sigma_hat,1680,720,-0.07784431137724557,0.07222222222222222,0.26874192494328497
wp5_misspec_mild,ppo_combined,h,B_sigma_hat_plus_regime,1680,720,-0.07784431137724557,0.07222222222222222,0.26874192494328497
wp5_misspec_mild,ppo_combined,m,A_sigma_hat,1680,720,-0.17232535747783273,1.2926060480346682,1.5899815684214427
wp5_misspec_mild,ppo_combined,m,B_sigma_hat_plus_regime,1680,720,-0.17325544369209944,1.2877872717223606,1.5906121641567637
wp5_misspec_mild,ppo_regime_only,h,A_sigma_hat,1680,720,0.44683915759654824,0.3892209597241759,0.6786620382352012
wp5_misspec_mild,ppo_regime_only,h,B_sigma_hat_plus_regime,1680,720,0.44683915759654824,0.3892209597241759,0.6786620382352012
wp5_misspec_mild,ppo_regime_only,m,A_sigma_hat,1680,720,-0.07181962507507533,1.4565373740733236,1.5393975478394222
wp5_misspec_mild,ppo_regime_only,m,B_sigma_hat_plus_regime,1680,720,-0.05644134638852849,1.4490212453870255,1.5283141464622003
wp5_misspec_mild,ppo_sigma_only,h,A_sigma_hat,1680,720,0.0,0.00414165537028005,0.011684082873088721
wp5_misspec_mild,ppo_sigma_only,h,B_sigma_hat_plus_regime,1680,720,0.0,0.00414165537028005,0.011684082873088721
wp5_misspec_mild,ppo_sigma_only,m,A_sigma_hat,1680,720,-0.24135154949059334,1.0159112374257209,1.3758542466425867
wp5_misspec_mild,ppo_sigma_only,m,B_sigma_hat_plus_regime,1680,720,-0.23873531967562234,1.013776205716565,1.3744036303863707
