condition,variant,n,mean,std,sem,ci95_lo,ci95_hi
full,sigma_only,20,0.7625642271425147,0.1274086680406622,0.02848944426616256,0.7029351349967129,0.8221933192883165
full,combined,20,0.6897811755189002,0.1297450469794006,0.029011874478984345,0.6290586243709128,0.7505037266668876
full,regime_only,20,0.6991250197981479,0.14279321622628047,0.03192953382077891,0.6322957374652155,0.7659543021310803
full,oracle_full,20,0.6810539939142257,0.1489547804462252,0.0333073014651316,0.6113410107602777,0.7507669770681737
full,oracle_pure,20,0.6631953019896691,0.16432831277536952,0.036744927799357334,0.5862872842281194,0.7401033197512189
noisy,sigma_only,20,0.7562805916485498,0.1316310089183933,0.02943358838884085,0.6946753831431541,0.8178858001539454
noisy,combined,20,0.7125405289244305,0.1341605925557579,0.02999922048563269,0.6497514388345041,0.7753296190143569
noisy,regime_only,20,0.6991250197981479,0.14279321622628047,0.03192953382077891,0.6322957374652155,0.7659543021310803
noisy,oracle_full,20,0.6736211127919274,0.21648530448968487,0.048407585696867574,0.5723028715125542,0.7749393540713005
noisy,oracle_pure,20,0.6631953019896691,0.16432831277536952,0.036744927799357334,0.5862872842281194,0.7401033197512189
lagged,sigma_only,20,0.7821849382145063,0.09697757138175829,0.021684844190244974,0.7367980377082283,0.8275718387207843
lagged,combined,20,0.6812091090447308,0.11446226586044252,0.02559454073226029,0.627639119630578,0.7347790984588836
lagged,regime_only,20,0.6991250197981479,0.14279321622628047,0.03192953382077891,0.6322957374652155,0.7659543021310803
lagged,oracle_full,20,0.7264398527551348,0.1465440453368445,0.03276824470709954,0.6578551283624392,0.7950245771478304
lagged,oracle_pure,20,0.6631953019896691,0.16432831277536952,0.036744927799357334,0.5862872842281194,0.7401033197512189
coarsened,sigma_only,20,0.7826860620336029,0.11392295178841612,0.025473946439632966,0.7293684793747434,0.8360036446924625
coarsened,combined,20,0.6908060655978387,0.1766807269901139,0.03950701158639765,0.6081169400297225,0.773495191165955
coarsened,regime_only,20,0.6991250197981479,0.14279321622628047,0.03192953382077891,0.6322957374652155,0.7659543021310803
coarsened,oracle_full,20,0.7446507953691186,0.117240437075495,0.026215758701259344,0.6897805818028201,0.7995210089354171
coarsened,oracle_pure,20,0.6631953019896691,0.16432831277536952,0.036744927799357334,0.5862872842281194,0.7401033197512189
none,sigma_only,0,,,,,
none,combined,20,0.6991250197981479,0.14279321622628047,0.03192953382077891,0.6322957374652155,0.7659543021310803
none,regime_only,20,0.6991250197981479,0.14279321622628047,0.03192953382077891,0.6322957374652155,0.7659543021310803
none,oracle_full,20,0.6631953019896691,0.16432831277536952,0.036744927799357334,0.5862872842281194,0.7401033197512189
none,oracle_pure,20,0.6631953019896691,0.16432831277536952,0.036744927799357334,0.5862872842281194,0.7401033197512189
